iter	Passed	Remaining
0	147	147230
1	148	74083
2	149	49616
3	150	37363
4	150	30019
5	151	25145
6	152	21700
7	154	19107
8	155	17084
9	156	15447
10	156	14099
11	157	12976
12	158	12025
13	159	11208
14	159	10498
15	160	9878
16	161	9332
17	162	8846
18	162	8412
19	163	8021
20	164	7669
21	165	7346
22	166	7061
23	167	6800
24	168	6555
25	168	6324
26	169	6113
27	170	5924
28	171	5745
29	172	5574
30	173	5412
31	173	5260
32	174	5118
33	175	4984
34	176	4858
35	177	4740
36	177	4632
37	178	4527
38	179	4429
39	180	4341
40	181	4253
41	182	4165
42	183	4083
43	184	4003
44	184	3925
45	185	3852
46	186	3781
47	187	3715
48	188	3651
49	188	3589
50	189	3529
51	190	3471
52	191	3416
53	191	3363
54	192	3311
55	193	3262
56	194	3218
57	195	3176
58	196	3132
59	197	3088
60	197	3045
61	198	3005
62	199	2964
63	200	2926
64	200	2889
65	201	2854
66	202	2819
67	203	2785
68	204	2755
69	205	2724
70	205	2693
71	206	2662
72	207	2635
73	208	2607
74	209	2583
75	210	2560
76	211	2535
77	212	2510
78	213	2488
79	214	2465
80	215	2440
81	215	2417
82	216	2390
83	217	2368
84	218	2346
85	218	2326
86	219	2306
87	220	2286
88	221	2267
89	222	2248
90	223	2229
91	224	2211
92	225	2195
93	225	2177
94	226	2160
95	227	2144
96	228	2127
97	229	2110
98	230	2093
99	230	2077
100	231	2062
101	232	2047
102	233	2031
103	234	2016
104	234	2002
105	235	1987
106	236	1973
107	237	1959
108	238	1947
109	239	1935
110	240	1924
111	241	1911
112	241	1898
113	242	1885
114	243	1873
115	244	1860
116	244	1847
117	245	1835
118	246	1823
119	247	1812
120	248	1801
121	248	1789
122	249	1778
123	250	1768
124	251	1757
125	251	1746
126	252	1735
127	253	1727
128	254	1717
129	255	1707
130	255	1697
131	256	1687
132	257	1678
133	258	1669
134	259	1660
135	259	1651
136	260	1642
137	261	1633
138	262	1624
139	263	1616
140	263	1607
141	264	1597
142	265	1589
143	266	1581
144	266	1573
145	267	1565
146	268	1558
147	269	1551
148	270	1543
149	271	1536
150	271	1528
151	272	1522
152	273	1515
153	274	1508
154	275	1502
155	276	1495
156	277	1489
157	278	1482
158	279	1476
159	280	1470
160	280	1461
161	281	1455
162	282	1449
163	283	1443
164	284	1438
165	285	1432
